S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
471,9/25/2017,29,2882,1272835,448,440,448
472,9/24/2017,42,3718,1638796,443,439,441
473,9/20/2017,65,10450,4599400,443,435,439
474,9/18/2017,119,33400,14877419,452,443,443
475,9/17/2017,159,49764,22001355,459,438,447
476,9/14/2017,115,42524,18361183,447,419,447
477,9/13/2017,111,32249,13538906,423,418,420
478,9/12/2017,98,27903,11782776,426,420,421
479,9/11/2017,65,17950,7592940,430,420,424
480,9/10/2017,126,37704,16076730,431,423,425
481,9/7/2017,89,34082,14711435,438,426,428
482,9/6/2017,111,11603,4994219,440,425,438
483,9/4/2017,94,33009,14133477,439,426,430
484,8/31/2017,83,15528,6769346,438,432,437
485,8/30/2017,83,14820,6508340,443,435,438
486,8/28/2017,61,7897,3519687,452,444,446
487,8/27/2017,62,3889,1732805,451,443,446
488,8/24/2017,44,11438,5093781,453,434,443
489,8/23/2017,52,7718,3396666,442,438,441
490,8/22/2017,79,12396,5447828,442,436,441
491,8/21/2017,46,5674,2474784,442,432,438
492,8/20/2017,89,16054,7075869,444,435,440
493,8/17/2017,75,23326,10279553,449,438,443
494,8/16/2017,84,11304,5021857,448,442,444
495,8/15/2017,96,15104,6699557,446,441,441
496,8/13/2017,86,14415,6423464,449,440,445
497,8/10/2017,97,21245,9497817,454,443,450
498,8/9/2017,123,17516,7934355,460,444,450
499,8/7/2017,87,11926,5419900,463,452,453
500,8/6/2017,104,18930,8598441,456,450,454
501,8/3/2017,94,14097,6379143,459,450,453
502,8/2/2017,56,12168,5532203,456,453,454
503,8/1/2017,87,9280,4235329,469,450,454
504,7/31/2017,76,12315,5598249,459,450,453
505,7/30/2017,60,9537,4331121,461,445,451
506,7/27/2017,75,11335,5133609,460,450,460
507,7/26/2017,96,22953,10401083,460,448,450
508,7/25/2017,78,16138,7380111,461,454,458
509,7/24/2017,91,13393,6112032,460,454,455
510,7/23/2017,88,16709,7668931,465,455,459
511,7/20/2017,88,10954,5040009,465,454,461
512,7/19/2017,121,21239,9884869,470,460,460
513,7/18/2017,181,27796,12739662,472,449,472
514,7/17/2017,74,16129,7096066,448,433,448
515,7/16/2017,47,4465,1927023,435,430,433
516,7/13/2017,84,12875,5549593,437,430,435
517,7/12/2017,63,8794,3825056,440,432,432
518,7/11/2017,68,9864,4318391,440,430,435
519,7/10/2017,81,12785,5585373,440,430,433
520,7/9/2017,95,20091,8794058,446,430,441
521,7/6/2017,93,18660,7970364,437,425,437
522,7/5/2017,73,11348,4786382,425,419,425
523,7/4/2017,80,13712,5768673,426,419,420
524,7/3/2017,51,7794,3311499,430,420,423
525,7/2/2017,94,14946,6315356,430,419,428
526,6/28/2017,61,10162,4287790,428,415,428
527,6/27/2017,82,11352,4795475,425,420,422
528,6/25/2017,75,10516,4451695,426,419,423
529,6/22/2017,105,16465,6949115,429,420,421
530,6/21/2017,54,6334,2673676,425,417,421
531,6/20/2017,98,12740,5380466,429,415,423
532,6/19/2017,125,21359,9040694,431,417,427
533,6/18/2017,137,19261,8290076,440,428,431
534,6/15/2017,97,15064,6569564,442,432,440
535,6/14/2017,63,8869,3869751,440,434,435
536,6/13/2017,73,13963,6114368,444,435,435
537,6/12/2017,89,9184,4039315,446,434,445
538,6/11/2017,52,7886,3493484,448,440,444
539,6/8/2017,45,6842,3058885,452,444,449
540,6/7/2017,72,14334,6502554,463,450,453
541,6/6/2017,88,10899,4918322,458,448,454
542,6/5/2017,73,12176,5438368,450,443,443
543,6/4/2017,71,10779,4796056,450,440,445
544,6/1/2017,99,14518,6514331,459,444,446
545,5/31/2017,79,8727,3874255,455,439,450
546,5/30/2017,43,7182,3193641,450,441,444
547,5/28/2017,72,9086,4093677,455,445,450
548,5/24/2017,52,11662,5282774,456,448,455
549,5/23/2017,46,6912,3118403,455,443,450
550,5/22/2017,32,3174,1418900,450,441,448
551,5/21/2017,72,10460,4687103,460,444,450
552,5/18/2017,49,6117,2771963,458,450,451
553,5/17/2017,41,4811,2194661,460,454,455
